FirstName,LastName,Pos Group,TGID,
Jordon,Simmons,1,2,Jordon Simmons
Dayne,Shor,4,2,Dayne Shor
Laurence,Seymoure,4,2,Laurence Seymoure
Eli,Fields,4,2,Eli Fields
Da'Quan,Thomas,4,2,Da'Quan Thomas
Nathan,Kapongo,5,2,Nathan Kapongo
Paul,Lewis,7,2,Paul Lewis
Daymon,David,7,2,Daymon David
Naquil,Betrand,4,3,Naquil Betrand
Graham,Nicholson,8,3,Graham Nicholson
Charles,Wright,0,188,Charles Wright
William,Fowles,2,188,William Fowles
Zavier,Short,2,188,Zavier Short
Michael,Marotta,4,188,Michael Marotta
Luke,Burgess,4,188,Luke Burgess
Andres,Dewerk,4,188,Andres Dewerk
Garner,Langlo,4,188,Garner Langlo
Thomas,Shrader,4,188,Thomas Shrader
Joshua,Donald,5,188,Joshua Donald
Jason,Chambers,7,188,Jason Chambers
Myles,Farmer,7,188,Myles Farmer
Avarion,Cole,7,188,Avarion Cole
Seth,Robertson,7,188,Seth Robertson
Elijah,Mc-Cantos,7,188,Elijah Mc-Cantos
Jackson,Moore,8,188,Jackson Moore
Anthony,Garcia,0,4,Anthony Garcia
Adam,Damante,0,4,Adam Damante
Jacorey,Croskey-Me,1,4,Jacorey Croskey-Me
Kedrick,Reescano,1,4,Kedrick Reescano
Alexander,Doost,4,4,Alexander Doost
Michael,Wooten,4,4,Michael Wooten
Shancco,Matautia,4,4,Shancco Matautia
Jonah,Rodriguez,4,4,Jonah Rodriguez
Chubba,Maae,5,4,Chubba Maae
Jack,Luttrell,7,4,Jack Luttrell
Marquis,Groves-Kil,7,4,Marquis Groves-Kil
Demetrius,Freeney,7,4,Demetrius Freeney
Owen,Goss,7,4,Owen Goss
Justin,Holloway,11,4,Justin Holloway
Joey,Su'a,4,5,Joey Su'a
Keyshaun,Elliott,6,5,Keyshaun Elliott
Myles,Rowser,7,5,Myles Rowser
Parker,Lewis,8,5,Parker Lewis
Tyler,Wiggleswor,11,5,Tyler Wiggleswor
Andreas,Paaske,3,6,Andreas Paaske
Anton,Juncaj,5,6,Anton Juncaj
Danny,Saili,5,6,Danny Saili
Larry,Worth,6,6,Larry Worth
Reginald,Harden,2,7,Reginald Harden
Jayden,Jones,5,7,Jayden Jones
Kamari,Stephens,5,7,Kamari Stephens
Bryan,Whitehead,5,7,Bryan Whitehead
Kyle,Taylor,6,7,Kyle Taylor
Chris,Pearson,6,7,Chris Pearson
Jordan,Mahoney,7,7,Jordan Mahoney
Adrian,Cole,7,7,Adrian Cole
